local_path,filename,bytes,sha256,drive_root,drive_folder,drive_status,drive_verified,drive_path,notes
"verification/selection-exhaustive/evidence/AW/AW-003-006__PASS.png","AW-003-006__PASS.png","295401","857fba85b4d3529daeb14ae93a15a51e89756db755c47fbcfe173f3ce7842a7c","MOLEXPLORER_SELECTION_A_BF_468AA79DBEC6F723","61_SCREENSHOTS","DRIVE_VERIFIED","true","https://drive.google.com/file/d/1mzF-g18E3UxhdOsOgYB2Ztp3y9g99N-2/view?usp=drivesdk","Uploaded and verified by Google Drive folder readback."
"verification/selection-exhaustive/evidence/AW/AW-003-007__EMPTY_VALID.png","AW-003-007__EMPTY_VALID.png","294106","f9d878cdecd4f67b31e4ef3d238d4ab0aca21c62bb987b4de2ee616c18b7eeff","MOLEXPLORER_SELECTION_A_BF_468AA79DBEC6F723","61_SCREENSHOTS","DRIVE_VERIFIED","true","https://drive.google.com/file/d/11NYe5KFSsnpg132uYqYeS89eyOXDzcCF/view?usp=drivesdk","Uploaded and verified by Google Drive folder readback."
"verification/selection-exhaustive/evidence/AW/AW-003-008__PASS.png","AW-003-008__PASS.png","295381","4e2117de794b25e2824e82f2168cccb5b4f5d0331ebf858947191becb9181b70","MOLEXPLORER_SELECTION_A_BF_468AA79DBEC6F723","61_SCREENSHOTS","DRIVE_VERIFIED","true","https://drive.google.com/file/d/1_EZcLC7EwHmn5U3175cvMcTCF3l9zP0Q/view?usp=drivesdk","Uploaded and verified by Google Drive folder readback."
"verification/selection-exhaustive/evidence/AW/AW-004-001__PASS.png","AW-004-001__PASS.png","295280","be9dfb6723f1968db72fbbdb357b87286b1cd183cb2b1c89b5f5229df0b3aa47","MOLEXPLORER_SELECTION_A_BF_468AA79DBEC6F723","61_SCREENSHOTS","DRIVE_VERIFIED","true","https://drive.google.com/file/d/1t8Cdwc7cTQ4QMf1M8LKctuOcaQsjs-Pu/view?usp=drivesdk","Uploaded and verified by Google Drive folder readback."
"verification/selection-exhaustive/evidence/AW/AW-004-002__PASS.png","AW-004-002__PASS.png","294966","b8aad09a674187c7e2835d534827519951678c365a9524dcd6fbebd083749b9a","MOLEXPLORER_SELECTION_A_BF_468AA79DBEC6F723","61_SCREENSHOTS","DRIVE_VERIFIED","true","https://drive.google.com/file/d/16HA_nVVtEMO4BNbfHyI8TfMuHBn0FUyv/view?usp=drivesdk","Uploaded and verified by Google Drive folder readback."
"verification/selection-exhaustive/evidence/AW/AW-004-003__EMPTY_VALID.png","AW-004-003__EMPTY_VALID.png","294106","f9d878cdecd4f67b31e4ef3d238d4ab0aca21c62bb987b4de2ee616c18b7eeff","MOLEXPLORER_SELECTION_A_BF_468AA79DBEC6F723","61_SCREENSHOTS","DRIVE_VERIFIED","true","https://drive.google.com/file/d/1iz8Ldp3p3vq-cF8fpSiluQfWdJCozrYy/view?usp=drivesdk","Uploaded and verified by Google Drive folder readback."
"verification/selection-exhaustive/evidence/AW/AW-004-004__PASS.png","AW-004-004__PASS.png","294966","b8aad09a674187c7e2835d534827519951678c365a9524dcd6fbebd083749b9a","MOLEXPLORER_SELECTION_A_BF_468AA79DBEC6F723","61_SCREENSHOTS","DRIVE_VERIFIED","true","https://drive.google.com/file/d/1sJkyzcpufIFubaEua5fbKTHGTCeaNGEw/view?usp=drivesdk","Uploaded and verified by Google Drive folder readback."
"verification/selection-exhaustive/evidence/AW/AW-004-005__PASS.png","AW-004-005__PASS.png","294941","e153fd1393d72003e3f3a4374099d36d0afc757d31864016eee0b800918233c4","MOLEXPLORER_SELECTION_A_BF_468AA79DBEC6F723","61_SCREENSHOTS","DRIVE_VERIFIED","true","https://drive.google.com/file/d/1aBfeyuE7K8NYY3tmw_IMXct96KewO0sx/view?usp=drivesdk","Uploaded and verified by Google Drive folder readback."
"verification/selection-exhaustive/evidence/AW/AW-004-006__PASS.png","AW-004-006__PASS.png","295401","857fba85b4d3529daeb14ae93a15a51e89756db755c47fbcfe173f3ce7842a7c","MOLEXPLORER_SELECTION_A_BF_468AA79DBEC6F723","61_SCREENSHOTS","DRIVE_VERIFIED","true","https://drive.google.com/file/d/1fDXq_5cK8AeVcvNUEGeDoc63O3ZExr2f/view?usp=drivesdk","Uploaded and verified by Google Drive folder readback."
"verification/selection-exhaustive/evidence/AW/AW-004-007__EMPTY_VALID.png","AW-004-007__EMPTY_VALID.png","294106","f9d878cdecd4f67b31e4ef3d238d4ab0aca21c62bb987b4de2ee616c18b7eeff","MOLEXPLORER_SELECTION_A_BF_468AA79DBEC6F723","61_SCREENSHOTS","DRIVE_VERIFIED","true","https://drive.google.com/file/d/1hDQZjGsMlOccPf0XrJ9WuuSCYfEIdUrP/view?usp=drivesdk","Uploaded and verified by Google Drive folder readback."
"verification/selection-exhaustive/evidence/AW/AW-004-008__PASS.png","AW-004-008__PASS.png","295381","4e2117de794b25e2824e82f2168cccb5b4f5d0331ebf858947191becb9181b70","MOLEXPLORER_SELECTION_A_BF_468AA79DBEC6F723","61_SCREENSHOTS","DRIVE_VERIFIED","true","https://drive.google.com/file/d/1h-ZrQxzzsboUI61FzLTnkTn3WQTyX4qu/view?usp=drivesdk","Uploaded and verified by Google Drive folder readback."
"verification/selection-exhaustive/evidence/AW/AW-005-001__PASS.png","AW-005-001__PASS.png","295280","be9dfb6723f1968db72fbbdb357b87286b1cd183cb2b1c89b5f5229df0b3aa47","MOLEXPLORER_SELECTION_A_BF_468AA79DBEC6F723","61_SCREENSHOTS","DRIVE_VERIFIED","true","https://drive.google.com/file/d/1BNDpsm3wFpMA0tTeSR5luQFYHqqV21K6/view?usp=drivesdk","Uploaded and verified by Google Drive folder readback."
"verification/selection-exhaustive/evidence/AW/AW-005-002__PASS.png","AW-005-002__PASS.png","294966","b8aad09a674187c7e2835d534827519951678c365a9524dcd6fbebd083749b9a","MOLEXPLORER_SELECTION_A_BF_468AA79DBEC6F723","61_SCREENSHOTS","DRIVE_VERIFIED","true","https://drive.google.com/file/d/1e71kj16ESO9vBr-ogzozCPHbtP8tCX91/view?usp=drivesdk","Uploaded and verified by Google Drive folder readback."
"verification/selection-exhaustive/evidence/AW/AW-005-003__EMPTY_VALID.png","AW-005-003__EMPTY_VALID.png","294106","f9d878cdecd4f67b31e4ef3d238d4ab0aca21c62bb987b4de2ee616c18b7eeff","MOLEXPLORER_SELECTION_A_BF_468AA79DBEC6F723","61_SCREENSHOTS","DRIVE_VERIFIED","true","https://drive.google.com/file/d/1qxoJgVu4tId4-SzOi-EMTUVzmJVu5mwK/view?usp=drivesdk","Uploaded and verified by Google Drive folder readback."
"verification/selection-exhaustive/evidence/AW/AW-005-004__PASS.png","AW-005-004__PASS.png","294966","b8aad09a674187c7e2835d534827519951678c365a9524dcd6fbebd083749b9a","MOLEXPLORER_SELECTION_A_BF_468AA79DBEC6F723","61_SCREENSHOTS","DRIVE_VERIFIED","true","https://drive.google.com/file/d/1-KlMku72evlP9HxiKIRBwn7nUv934UwZ/view?usp=drivesdk","Uploaded and verified by Google Drive folder readback."
"verification/selection-exhaustive/evidence/AW/AW-005-005__PASS.png","AW-005-005__PASS.png","294941","e153fd1393d72003e3f3a4374099d36d0afc757d31864016eee0b800918233c4","MOLEXPLORER_SELECTION_A_BF_468AA79DBEC6F723","61_SCREENSHOTS","DRIVE_VERIFIED","true","https://drive.google.com/file/d/1lE-PHWU4WuXwpeI1nPI_L-JGq0CRXh7j/view?usp=drivesdk","Uploaded and verified by Google Drive folder readback."
"verification/selection-exhaustive/evidence/AW/AW-005-006__PASS.png","AW-005-006__PASS.png","295401","857fba85b4d3529daeb14ae93a15a51e89756db755c47fbcfe173f3ce7842a7c","MOLEXPLORER_SELECTION_A_BF_468AA79DBEC6F723","61_SCREENSHOTS","DRIVE_VERIFIED","true","https://drive.google.com/file/d/1qTEbHbNo1Rs8DqFJYZ04ujlyvt5UmvpX/view?usp=drivesdk","Uploaded and verified by Google Drive folder readback."
"verification/selection-exhaustive/evidence/AW/AW-005-007__EMPTY_VALID.png","AW-005-007__EMPTY_VALID.png","294106","f9d878cdecd4f67b31e4ef3d238d4ab0aca21c62bb987b4de2ee616c18b7eeff","MOLEXPLORER_SELECTION_A_BF_468AA79DBEC6F723","61_SCREENSHOTS","DRIVE_VERIFIED","true","https://drive.google.com/file/d/1sB6eyuqsXvfCA17c7aI0XCS3jHrsUddo/view?usp=drivesdk","Uploaded and verified by Google Drive folder readback."
