"relativePath","folder","bytes","sha256","driveFolderId","driveFolderUrl","driveUploadStatus"
"00-baseline/BASELINE.md","01_BASELINE","1849","7d68c9e756afe6bd72405b927e9e4333d2474eb70ec082d67368aa44cbdfe537","1CQ4cUUDByhhbpQNzCz7xB5FQYZMS7-By","https://drive.google.com/drive/folders/1CQ4cUUDByhhbpQNzCz7xB5FQYZMS7-By","UPLOADED_READBACK_VERIFIED"
"00-baseline/BASELINE.json","01_BASELINE","1536","6b081e7e5854e543a04345a14d75187105d2100b81a747ed493216a06ee1e9ef","1CQ4cUUDByhhbpQNzCz7xB5FQYZMS7-By","https://drive.google.com/drive/folders/1CQ4cUUDByhhbpQNzCz7xB5FQYZMS7-By","UPLOADED_READBACK_VERIFIED"
"01-source/4V6F_SOURCE_IDENTITY.json","02_SOURCE_IDENTITY","802","5bcb1cbdb36dae727b52e604a434a3faebde4611fdcbbf362e0439d8207c8826","1OdaGYurBKrNl6OlUHNjWwDpviJfnERtC","https://drive.google.com/drive/folders/1OdaGYurBKrNl6OlUHNjWwDpviJfnERtC","UPLOADED_READBACK_VERIFIED"
"02-import/4V6F_LIGHTWEIGHT_SCAN_REPORT.json","03_IMPORT","1297018","e5abf316bfffd62ee506f0e2d4fd5e913cb807907279e9b71c38e8095d2bdfa3","1-OJcPKz2Oqqe05HN1uxBtRusLDtuzKJd","https://drive.google.com/drive/folders/1-OJcPKz2Oqqe05HN1uxBtRusLDtuzKJd","UPLOADED_READBACK_VERIFIED"
"03-identity/4V6F_PARSED_IDENTITY.json","04_CANONICAL_IDENTITY","813","5b6e2b672b057053967741edb17ab47bc578514f04b58006755672a6642051b3","1OQXrX7BIDqrouey9lMj-UVBxN0XRn9Fl","https://drive.google.com/drive/folders/1OQXrX7BIDqrouey9lMj-UVBxN0XRn9Fl","UPLOADED_READBACK_VERIFIED"
"03-identity/4V6F_CHAIN_INVENTORY.json","04_CANONICAL_IDENTITY","1160633","645aeb3fe91eb072696af17199122eedc689da28f621f051ec57f4c49623fea3","1OQXrX7BIDqrouey9lMj-UVBxN0XRn9Fl","https://drive.google.com/drive/folders/1OQXrX7BIDqrouey9lMj-UVBxN0XRn9Fl","UPLOADED_READBACK_VERIFIED"
"04-render/4V6F_RENDER_REPORT.md","05_RENDER","359","cc76d011f7ad68173b5e073a7d9bb51c0411c4fb06575f1c41ac1ad16a1a5d7a","1vAyEfLhElkslpkl9nF31nNNlrK1byHTC","https://drive.google.com/drive/folders/1vAyEfLhElkslpkl9nF31nNNlrK1byHTC","UPLOADED_READBACK_VERIFIED"
"04-render/4V6F_RENDER_REPORT.json","05_RENDER","1320","43f0816cbe9b71620654a8c94e41820cb5f6c7d695d71812a64282098c420dc5","1vAyEfLhElkslpkl9nF31nNNlrK1byHTC","https://drive.google.com/drive/folders/1vAyEfLhElkslpkl9nF31nNNlrK1byHTC","UPLOADED_READBACK_VERIFIED"
"05-selection/4V6F_A_BE_APPLICABILITY_MATRIX.md","07_GENERIC_SELECTION","1006","d55a53a99bc5d6e733511e86708c5cb1469dca1b3dcf5e4aa984adb151ee4c9b","10SxJz3ORaUNZWsZqFGJK4KJ0GMtYPWcv","https://drive.google.com/drive/folders/10SxJz3ORaUNZWsZqFGJK4KJ0GMtYPWcv","UPLOADED_READBACK_VERIFIED"
"05-selection/4V6F_A_BE_APPLICABILITY_MATRIX.json","07_GENERIC_SELECTION","274051","d64e13179d8d6248b2de7d971d23abd2c7d4a856db2b759d3470c8f6fa6b9097","10SxJz3ORaUNZWsZqFGJK4KJ0GMtYPWcv","https://drive.google.com/drive/folders/10SxJz3ORaUNZWsZqFGJK4KJ0GMtYPWcv","UPLOADED_READBACK_VERIFIED"
"05-selection/4V6F_A_BE_APPLICABILITY_MATRIX.csv","07_GENERIC_SELECTION","128809","b7601bcd43749638f10b4ed646708d6d94c5d4a5e2ce01cb3655f939a702dce9","10SxJz3ORaUNZWsZqFGJK4KJ0GMtYPWcv","https://drive.google.com/drive/folders/10SxJz3ORaUNZWsZqFGJK4KJ0GMtYPWcv","UPLOADED_READBACK_VERIFIED"
"06-spatial/4V6F_SPATIAL_REPORT.md","16_SPATIAL","331","a48dd1cbd7f01dc54811153bec16872357506f2e788e092fa41aa42132b2350a","1rRZtvOG5RQCyqGtjvPSY3RAUvVjMyXG9","https://drive.google.com/drive/folders/1rRZtvOG5RQCyqGtjvPSY3RAUvVjMyXG9","UPLOADED_READBACK_VERIFIED"
"07-color/4V6F_COLOR_REPORT.md","19_COLOR","294","492dc0848ac44ea5a9cf19c6e9291235964fe85276cd604c4c592e06912c11c4","1a04MaKm3_FSe0vECwzre42pz1CHaVkco","https://drive.google.com/drive/folders/1a04MaKm3_FSe0vECwzre42pz1CHaVkco","UPLOADED_READBACK_VERIFIED"
"08-measure/4V6F_MEASURE_REPORT.md","22_MEASURE","295","2db1f4c5f32c425139ab022380445d171ae9a6d19349bdf956113e865fc2326e","1Y_c4J-jS-qkLl_QqT2N4MqKDuclAOhYG","https://drive.google.com/drive/folders/1Y_c4J-jS-qkLl_QqT2N4MqKDuclAOhYG","UPLOADED_READBACK_VERIFIED"
"09-console/4V6F_CONSOLE_REPORT.md","23_CONSOLE","271","85c578c645337b0b942fab04398f8d19a32425075f2e41986c85bf1dc66a3c6d","1TwY1lqM6pWVUvoUMF84PpgAzpbWfnhaV","https://drive.google.com/drive/folders/1TwY1lqM6pWVUvoUMF84PpgAzpbWfnhaV","UPLOADED_READBACK_VERIFIED"
"10-multi-object/MULTI_OBJECT_FIXTURES.json","25_MULTI_OBJECT","932","cdcf9c14ef92171575c8864513b80f9374bb81af475f97b17142abcd9c26d46c","1MQsAYUz8eEJtR_XCq77AiNYifAT-uDdt","https://drive.google.com/drive/folders/1MQsAYUz8eEJtR_XCq77AiNYifAT-uDdt","UPLOADED_READBACK_VERIFIED"
"11-session/4V6F_SESSION_REPORT.md","27_SESSION","269","eb51d54ac74fd5326c981314cdd64372dae33a4203834541fbc608b34d12738a","15kFVc0tMGzGlvXRJgBbz6ITdZIUpBS5A","https://drive.google.com/drive/folders/15kFVc0tMGzGlvXRJgBbz6ITdZIUpBS5A","UPLOADED_READBACK_VERIFIED"
"12-responsive/4V6F_RESPONSIVE_REPORT.md","29_RESPONSIVE","678","60cbed15999ac96028f466f645773f0fc946e7becb9bcb791e3617a216c1de9a","1Yjb1GkwxgTleJw9i8zO3UBkE2Q09WX2u","https://drive.google.com/drive/folders/1Yjb1GkwxgTleJw9i8zO3UBkE2Q09WX2u","UPLOADED_READBACK_VERIFIED"
